Name;Type;Ratio;Amount
abstractClass;XMLStatelessStreamConverter class;0.89;34
accepts;Boolean;0.96;109
accumulate;#yourself;0.89;55
action:;#yourself;0.95;164
activate;#yourself;0.92;135
activeHand;HandMorph;0.96;48
actualClass;Object class;0.97;270
adapt;#yourself;0.84;114
adapter;SpAbstractMorphicAdapter;0.83;161
addAs;#yourself;1.00;40
addAttribute:;#yourself;0.91;43
addChild;#yourself;0.98;328
addChildren;#yourself;1.00;37
addClass:;#yourself;0.93;37
addCondition;SRElementDescription;1.00;42
addEventHandlerOn;BlEventHandler;1.00;79
addInteraction;#yourself;1.00;81
addInteractions;#yourself;1.00;97
addItem;#yourself;0.88;80
addKey;#yourself;1.00;116
addKeyBindings;SpAbstractMorphicAdapter;1.00;91
addLauncher;PhLCliCommand class;1.00;49
addLine;MicAbstractBlock;0.88;60
addMatching;RePatternCodeRule;1.00;63
addMatchingExpression:rewrite;ReNodeRewriteRule;1.00;36
addMethod;#yourself;0.89;68
addMorph;Morph;1.00;185
addNew;#yourself;1.00;31
addNode:;XMLNode;0.82;54
addPackage;#yourself;0.84;56
addResults;#yourself;0.95;37
addSelection;#yourself;1.00;70
addSettings;#yourself;1.00;65
addShape;#yourself;1.00;43
added;#yourself;0.83;247
addedTo;OPModelObject;0.81;48
additional;Collection;0.86;77
adjust;#yourself;0.95;151
adopt;#yourself;0.82;230
adoptPane;Morph;1.00;170
ae;#yourself;0.93;178
affects;Boolean;1.00;42
align;#yourself;0.92;184
allBut;Collection;1.00;31
allChildrenBreadth;BlElement;0.97;71
allChildrenTypes;OrderedCollection;1.00;42
allClients;Collection;1.00;33
allElements;Collection;0.85;179
allEntities;Collection;0.86;32
allMorphs;Morph;0.95;97
allOwned;SequenceableCollection;1.00;213
allParsers;PPParser;0.94;46
allSlots;SequenceableCollection;1.00;40
allSub;Collection;1.00;30
allTag;FMMultivalueLink;0.82;84
allUsing;MooseGroup;0.98;42
allWith;MooseGroup;0.87;34
