Name;Type;Ratio;Amount
absentBlock;FullBlockClosure;0.95;95
ae;AeCanvas;0.98;100
all;Collection;0.91;172
alpha;Number;0.84;32
ancestors;Collection;1.00;36
angle;Number;0.90;44
announcer;Announcer;0.99;193
args;SequenceableCollection;0.93;57
arguments;Collection;0.97;115
array;Array;0.81;360
associations;SequenceableCollection;0.90;37
basic;ArrayedCollection;0.98;166
blElementBounds;BlElementBoundsUpdater;1.00;119
block;FullBlockClosure;0.89;3120
boolean;Boolean;0.98;1001
borderWidth;Integer;0.95;79
byteArray;ArrayedCollection;0.97;63
cache;SmallDictionary;0.85;337
can;Boolean;0.95;135
capacity;Integer;0.97;57
cellBounds;Rectangle;1.00;70
chart;RSAbstractChart;0.86;48
children;Collection;0.88;286
clap;ClapExpression;0.85;71
className;String;0.80;267
classScope;ClyLocalClassScope;0.95;54
classes;Collection;0.87;133
closed;Boolean;0.94;45
codec;GRCodec;0.91;32
col;Collection;0.85;77
collected;Collection;0.89;33
collection;SequenceableCollection;0.81;1592
collectionOfPackages;Set;0.85;35
combination;BlKeyCombination;0.81;34
compiled;CompiledCode;0.80;433
compiledMethod;CompiledMethod;0.92;428
consumed;Boolean;0.98;126
controller;OPController;0.83;219
count;Integer;0.94;120
counter;Integer;0.98;40
creation;OPController;0.82;51
critic;FullBlockClosure;0.96;176
critiques;OrderedCollection;0.85;105
damage;Rectangle;0.99;132
dataString;String;0.95;42
debugPoint;DebugPoint;0.81;38
decoder;FLDecoder;0.96;155
decorated;Iterator;0.88;51
delay;Magnitude;0.96;51
dependencies;HashedCollection;0.82;70
depth;Integer;0.99;99
desired;Number;0.84;36
diagramController;OPDiagramController;0.97;221
dict;Dictionary;0.83;72
dictionary;Collection;0.95;558
direct;Array;0.94;90
dot;Integer;0.93;55
draw;FullBlockClosure;0.90;61
elements;SequenceableCollection;0.81;171
enabled;Boolean;0.99;249
encoding;Collection;0.96;72
encodingName;String;1.00;51
errorHandler;BlCompositeErrorHandler;0.96;85
eventClass;BlEvent class;0.83;71
extentSpec;BlExtentMeasurementSpec;0.90;45
failed;Array;0.94;155
fileName;String;0.90;74
fileReference;AbstractFileReference;0.89;141
filename;String;0.91;30
filled;Rectangle;0.83;34
float;Number;0.95;82
following;XMLObservableList;0.91;30
gap;Number;0.86;31
generalizations;Array;0.85;46
get;Symbol;0.83;45
groupOf;SequenceableCollection;0.96;48
groups;Collection;1.00;34
has;Boolean;0.99;153
height;Number;0.84;123
identifier;Symbol;0.83;55
ignored;Array;0.82;32
index;Integer;0.95;691
indexes;Collection;0.98;49
instanceVariables;Array;0.93;64
integer;Integer;0.93;732
interval;Interval;0.93;112
is;Boolean;0.97;591
itemCount;Integer;0.90;37
items;SequenceableCollection;0.87;96
iterator;Iterator;0.84;141
keys;Collection;0.94;47
length;Integer;0.81;86
listElement;ToAbstractListElement;0.92;76
listOf;SequenceableCollection;0.88;51
localName;String;0.99;83
mapping;Collection;0.83;52
matches;Collection;0.97;69
materializer;FLMaterializerMock;0.90;38
max;Number;0.87;222
maximum;Number;0.91;43
measured;BlElementLocalBounds;0.82;84
messageNode;OCValueNode;0.94;45
metamodel;FMMetaModel;0.89;169
methodGroup;ClyMethodGroup;0.91;31
mic;MicElement;0.87;80
minExtent;Point;1.00;62
modelElements;Array;0.91;86
mooseModel;MooseModel;0.97;220
more;Array;0.96;64
morph;Morph;0.93;410
name;String;0.89;1162
names;Collection;1.00;34
navigation;ClyNavigationEnvironment;0.82;93
needs;Boolean;0.97;30
newBasis;Collection;0.83;52
newEvent;BlEventHandler;0.97;33
newName;Symbol;1.00;37
newProject;MetacelloMCBaselineProject;0.98;300
nextChar;Character;1.00;48
nodeList;Collection;0.96;67
nodeSet;XPathNodeSet;0.95;71
nodes;Collection;1.00;154
non;Collection;0.82;40
none;FullBlockClosure;0.97;30
num;Integer;0.81;44
number;Number;0.92;967
numberOf;Integer;0.96;112
objects;Collection;0.96;104
occupied;SortedCollection;0.97;34
oldName;Symbol;0.93;37
oneArg;FullBlockClosure;0.80;57
oneArgBlock;BlockClosure;0.81;55
options;Collection;0.81;104
ordered;SequenceableCollection;0.81;63
outgoing;SequenceableCollection;0.89;31
own;ClyTypedQuery;0.88;35
owned;Collection;0.91;125
owning;OPDiagramElement;0.82;84
pPContext;PPContext;0.98;110
packageName;Symbol;0.85;82
packages;Collection;0.90;95
pane;Color;0.88;136
parse;OCProgramNode;0.90;90
pi;XMLPI;0.81;35
point;Point;0.89;624
preceding;XMLObservableList;0.91;30
prefix;String;0.86;121
prepared;ClyRawQueryResult;0.92;36
present;FullBlockClosure;0.90;53
presenter;SpPresenter;0.90;352
prior;Rectangle;0.91;118
priority;Integer;0.93;85
properties;Collection;0.88;181
provider;IceCredentialsProvider class;0.81;61
public;String;1.00;45
qualified;String;0.91;53
