name;Type;Ratio;Amount
:matrix:;Rectangle;1.00;36
:model:;#soleInstance;0.89;82
:node:;NECEntry;0.95;37
:of:in:;ClyQuery;0.96;93
:opposite:;Collection;0.90;44
:predicates:;XPathNodeSet;0.86;32
:query:;Collection;0.95;36
aCanvas;Boolean;0.99;66
absent;TestCase;0.97;141
absentPut;TestCase;1.00;60
abstract;Boolean;1.00;5071
abstract:;#yourself;0.89;41
accessors;#yourself;0.96;43
action:;#yourself;0.89;244
activation;CmdCommandActivationStrategy;0.93;198
active;Boolean;0.84;62
adapterClass;XMLStreamAdapter class;0.98;133
add;TestCase;0.88;78
added:;#yourself;0.98;133
addedToSceneGraph;#yourself;0.98;90
affectTheWidget;SpAbstractWidgetAdapterTest;1.00;39
affected;RGDefinition;1.00;38
alignment:;#yourself;0.82;45
all;#yourself;0.94;410
all:in:;#soleInstance;1.00;45
analyzing;FLIteratingCluster;0.95;105
anchor:;#yourself;0.92;88
andModel;#yourself;1.00;122
announce:;Morph;0.95;128
announcement;#yourself;0.98;90
announcement:;Boolean;0.99;138
anotherClassName;Symbol;1.00;30
any;#yourself;0.98;85
applyTo:;#yourself;1.00;31
as;#yourself;1.00;42
associationTypesIn:;Collection;1.00;67
asyncQuery;#yourself;1.00;37
at;TestCase;0.97;156
at:do:;#yourself;0.94;34
atEnd;#yourself;0.95;70
atIfPresent;TestCase;1.00;50
atPut;TestCase;1.00;120
atScope:;Collection;1.00;38
attachPoint;RSObject;0.98;44
attributeDeclaration;#yourself;1.00;36
attributes:;#yourself;0.84;159
axis:;XPathNodeSet;1.00;94
back;#yourself;0.97;34
back:;#yourself;1.00;81
basic;TestCase;0.94;59
basisObject;ClyAbstractNavigationEnvironmentTest;1.00;51
behavior:;#yourself;0.84;32
binaryInput;Boolean;1.00;98
borderWidth;Integer;0.99;69
bounds:of:;BlBounds;1.00;32
boundsInSpace;BlCachedBounds;0.84;48
breadthFirstDo:;BlElement;1.00;110
browserMenuActivation;CmdContextMenuActivation;1.00;35
builder:;#yourself;0.97;202
builders;Collection;1.00;36
bus:;#yourself;1.00;73
buses;Boolean;0.98;44
butFirst:;Collection;1.00;39
by;TestCase;0.84;72
byPriority;#yourself;1.00;38
bytes;ByteArray;0.83;48
cData:;XMLCData;0.81;43
canvas:;#yourself;0.91;52
case;Boolean;0.81;617
cell:of:;#yourself;1.00;45
center;#yourself;0.82;135
centering:;#yourself;1.00;42
changed;#yourself;0.97;831
changed:;#yourself;0.99;187
changedFrom:to:;#yourself;1.00;36
changesFor:;#yourself;1.00;42
check:;Boolean;0.96;152
child:;#yourself;0.85;293
child:at:;#yourself;1.00;65
childAdded:;BlElement;1.00;67
childrenFor:;Collection;0.86;30
class:do:;#yourself;0.84;37
classFactory;FLSerializationTest;0.95;39
classMethod;Boolean;0.88;43
classTest;TestCase;0.89;47
classesIn:;Array;0.91;41
click:;#yourself;1.00;41
codec;GRNullCodec;0.92;97
collections;Array;0.91;82
color;Color;0.84;677
color:;#yourself;0.92;484
commandClass;Boolean;0.97;32
composite;Boolean;0.90;158
composition;TaAbstractComposition;0.87;3399
compositionString;String;1.00;31
concatenation;#yourself;0.85;35
condition:;#yourself;0.97;37
connectedLines;RSBoundingShape;1.00;30
consumed;Boolean;0.97;143
container:;#yourself;0.94;116
contentOn:;#yourself;1.00;254
controller:;#yourself;0.87;207
controllerClass;OPController class;1.00;127
controllerFor:;OPElementController;0.88;37
convertEncoding:;Boolean;1.00;34
converterClass;XMLStatelessStreamConverter class;1.00;98
copy;#yourself;0.84;612
copyProperties;#yourself;1.00;68
corners;Boolean;0.97;132
count;Integer;0.88;397
creation;TestCase;0.88;43
data:;#yourself;0.84;97
dead;Boolean;0.91;48
decorations;#yourself;0.86;31
deeply;BlElement;1.00;31
defaultResult;Boolean;0.97;38
defaultStreamConverter;XMLStreamAdapterTest;0.91;41
defaultValue:;#yourself;0.91;32
definesInstanceVariable:;Boolean;0.91;30
definesMethod:;Boolean;1.00;61
definitionString;String;0.99;78
degrees:;#yourself;1.00;34
delete;#yourself;0.94;62
deleted;#yourself;0.99;99
delivery;Announcement;0.95;58
depth;Integer;0.92;107
description:;MetacelloMCBaselineProject;0.81;606
deselected;#yourself;1.00;77
detached;Boolean;0.83;52
details;#yourself;0.99;159
diagram;#yourself;1.00;144
diagramModel:;OPElementController;0.84;36
direction:;#yourself;0.92;72
dirty:;#yourself;1.00;58
disabled:;#yourself;1.00;58
distance;Number;0.91;53
distributionValue:;Float;0.84;41
do;TestCase;0.97;136
do:;#yourself;0.89;2857
do:seen:;#yourself;1.00;51
down;#yourself;0.91;1198
draggableInteraction;OPBoundNode;1.00;56
drawOn:;#yourself;1.00;135
drop;Boolean;0.97;90
dropList;SpPresenter;0.90;52
during:;#yourself;0.83;108
elementClass;Object class;0.98;285
elementDo:;ToElement;1.00;43
elementEvent;Boolean;0.92;33
elementNamed:namespaceURI:;XMLElement;0.84;31
emptyResult;Boolean;0.97;56
emptySpace;#yourself;1.00;37
enabled;Boolean;0.94;423
encodingNames;Array;0.93;37
endInto:;OrderedCollection;0.89;39
ends;OPUMLToManyLinks;0.89;54
entities:;#yourself;0.93;100
epsilon;Boolean;0.85;40
equal;#yourself;1.00;68
equals;TestCase;0.99;83
errorHandler;BlCompositeErrorHandler;0.99;85
evaluated:;J2Type;0.86;38
event:;#yourself;0.80;1294
eventClass;BlEvent class;0.92;73
eventClasses;IdentitySet;0.91;31
eventHandler;BlBasicEventHandler;0.81;112
eventHandlerClass;BlCustomEventHandler class;0.88;45
execute;#yourself;0.94;44
execute:;#yourself;0.93;51
executed;Boolean;0.91;190
execution;#yourself;0.98;329
extent;Point;0.91;545
extent:;#yourself;0.91;144
factor;Number;0.92;66
factory:;#yourself;0.86;74
factoryClass;Object class;1.00;32
fail:;#yourself;0.97;76
false;TestCase;0.90;73
figure;#yourself;1.00;59
fileReference;FileReference;0.86;89
fileReference:;#yourself;0.92;34
fill;Boolean;0.95;40
filterExpression;Boolean;0.89;31
fitContent;BlElement;0.85;84
flagsTo:;PhLCliCommand class;1.00;52
focus:;#yourself;0.88;43
focusChange:;Morph;1.00;67
follow;Boolean;0.91;43
fontSize;Integer;0.81;38
for;TestCase;0.98;160
for:inContext:;CoFetcher;0.92;33
forHolder:;ToAbstractListNode;0.92;35
forSelect;Collection;1.00;47
forSelector:;OCMethodNode;0.91;136
form:;#yourself;0.83;117
formSet;FormSet;1.00;52
formatter:;PhLCliCommand;0.94;30
found:;#yourself;0.82;86
frame;LayoutFrame;0.95;57
frame:;#yourself;0.96;48
from;TestCase;0.91;86
fromBounds;OPBoundNode;0.98;61
fromModel;#yourself;0.95;317
fromScope:;Boolean;0.86;43
fromScopeOf:;Boolean;0.84;38
fromString;TestCase;1.00;31
fromStyles;OPDiagramElement;1.00;155
front;#yourself;0.94;33
front:;#yourself;1.00;78
functionSet;XPathFunctionSet;0.97;34
gap;Number;0.82;33
generalizations;#yourself;0.94;265
group:;#yourself;0.82;123
groupFor:from:;ClyMethodGroup;0.88;30
hand;HandMorph;1.00;53
handle;Array;0.84;365
handler:;#yourself;0.95;377
handlerClass;Object class;0.90;72
handlers;Array;0.81;127
has;#yourself;1.00;34
hasNext;#yourself;1.00;58
hash;#yourself;0.92;88
haveController;Boolean;1.00;155
haveSkinManager;#yourself;1.00;53
height;Number;0.83;299
highlightOn:;Morph;1.00;92
iD;Integer;0.86;508
iconName;Symbol;0.97;201
identifierName;Symbol;1.00;132
ifNeeded;#yourself;0.96;51
implicit;Boolean;0.88;99
implicitStreamConverter;XMLStreamAdapterTest;0.87;41
imports;Collection;0.87;33
in;#yourself;0.82;50
in:context:;#yourself;1.00;128
in:do:;#yourself;1.00;33
inContainer:;OPElementController;1.00;77
inLocal;BlCachedBounds;0.99;73
inModel;Boolean;0.92;146
inWindow;Morph;0.91;50
include:;Boolean;0.95;36
includes;TestCase;0.94;32
index:to:;#yourself;1.00;32
indexOf:;Integer;1.00;59
indexes;Collection;0.82;84
indexes:;#yourself;1.00;39
inheritances;Collection;0.95;38
initialization:;#yourself;1.00;181
initialize:;#yourself;1.00;38
inset;Integer;0.87;137
inset:;#yourself;1.00;66
inside;SequenceableCollection;0.80;61
install:;#yourself;1.00;50
installed;#yourself;0.82;64
installedIn:;#yourself;0.99;260
instance:with:;FLIteratingCluster;1.00;64
instanceVariables;#yourself;0.92;87
instances:;OrderedCollection;0.84;36
interactions;#yourself;0.96;92
interspace:;#yourself;1.00;33
into;TestCase;1.00;53
invalidModel;AbstractVerificationTest;0.89;63
is;#yourself;1.00;40
isEmpty;TestCase;0.89;34
it;TestCase;0.87;72
it:;#yourself;0.96;46
items:;#yourself;0.85;82
iteration;Number;0.86;42
iterator:;#yourself;1.00;70
itself;#yourself;1.00;36
keyBindings;#yourself;1.00;70
kind:;#yourself;0.96;67
kindOf:;Boolean;1.00;90
labels:;#yourself;1.00;32
layout:;#yourself;0.93;161
layout:context:;#yourself;0.93;79
layoutDone;BlElement;1.00;54
layoutProperties;TableLayoutProperties;0.93;41
lazyRebuild;#yourself;1.00;48
leaf;Boolean;0.88;42
length;Number;0.86;82
lineLength:;#yourself;1.00;38
listClass;XMLObservableList class;0.88;66
listeners;OrderedCollection;0.85;62
load;#yourself;0.95;38
