name;Type;Ratio;Amount
activator;CmdCommandActivator;0.95;38
adapter;XMLStreamAdapter;0.93;86
add;OrderedCollection;0.83;39
amount;Integer;1.00;62
annotation;ClassAnnotation;0.91;39
announcement;Announcement;0.99;75
area;Morph;0.88;45
argumentBlock;FullBlockClosure;1.00;59
array;ArrayedCollection;0.83;203
associations;SequenceableCollection;0.95;38
attributeValue;String;1.00;31
attributes;Array;0.86;340
basis;Collection;1.00;61
block;BlockClosure;0.83;1517
browser;SpPresenter;0.84;31
changed;Boolean;0.93;63
char;Character;1.00;69
children;Collection;0.88;92
classes;Collection;0.93;176
closure;FullBlockClosure;0.83;180
closure2;FullBlockClosure;1.00;56
collection;Collection;0.95;759
color;Color;0.87;297
commandGroup;SpCommandGroup;1.00;36
constraints;BlLayoutConstraints;0.94;46
controller;OPController;0.88;257
converter;XMLStatelessStreamConverter;0.97;71
count;Integer;0.99;175
delta;Number;0.97;33
description;ArrayedCollection;0.95;417
descriptions;Array;0.99;303
diagramController;OPDiagramController;1.00;49
dict;Collection;1.00;60
dictionary;Collection;0.99;189
directory;AbstractFileReference;0.81;39
dirty;Boolean;1.00;38
dispatcher;BlElementEventDispatcher;0.98;253
edges;SRToManyLink;0.83;86
elements;Collection;0.88;221
eventClass;BlEvent class;0.94;68
eventHandler;BlBasicEventHandler;1.00;38
extent;Point;0.97;280
fit;Symbol;0.97;95
forTest;SpMorphicBackendForTest;0.96;54
generalizations;Collection;1.00;231
globals;OrderedCollection;0.86;38
groups;Collection;0.94;82
height;Number;0.84;84
iD;Integer;0.92;584
identifier;Collection;0.85;34
images;Boolean;0.94;61
index;Integer;0.92;539
insets;BlInsets;1.00;32
integer;Integer;0.89;75
items;SequenceableCollection;0.90;120
iterations;Integer;0.97;38
keys;Collection;0.86;37
length;Number;0.94;59
limit;Integer;0.87;40
listeners;OrderedCollection;0.83;55
measurementSpec;BlExtentMeasurementSpec;0.96;73
meta;Boolean;0.91;53
methods;Collection;0.94;145
microseconds;Integer;1.00;50
milliseconds;Integer;1.00;30
morph;Morph;0.93;275
morphs;SequenceableCollection;0.91;43
name;Symbol;0.82;720
names;Collection;0.99;225
nodes;Collection;0.90;141
number;Number;0.86;128
objects;Collection;0.96;173
ofCopy;OPController;1.00;51
packages;Collection;0.96;67
parameterValues;Array;0.98;64
parameters;Array;0.92;129
points;SequenceableCollection;0.98;101
policy;LayoutPolicy;0.91;53
prefix;Collection;0.84;41
presenter;SpPresenter;0.93;303
project;MetacelloMCBaselineProject;0.92;300
reader;STONReader;0.91;106
rect;Rectangle;0.96;165
rectangle;Rectangle;0.96;130
rectangles;SortedCollection;0.92;34
requested;Boolean;0.94;32
scopeClass;ClyTypedScope class;0.95;60
seconds;Integer;0.97;36
sel;Symbol;0.95;35
selector;Symbol;0.87;226
selectors;Collection;0.97;75
set;Collection;0.80;209
shape;RSShape;0.86;232
shapes;Collection;0.89;80
siblings;XMLObservableList;0.97;30
simulator;OPDiagramSimulator;0.85;33
size;Number;0.91;298
skin;ToSkin;1.00;33
sourceItem;ClyDataSourceItem;1.00;32
spaces;OrderedCollection;0.92;47
start;Number;0.85;93
string;String;0.82;585
strings;SequenceableCollection;0.92;61
symbol;ArrayedCollection;0.86;250
types;Collection;0.82;32
updater;BlElementBoundsUpdater;0.84;62
values;SequenceableCollection;0.85;126
variables;Collection;0.90;36
width;Number;0.90;220
windowPresenter;SpWindowPresenter;1.00;35
world;WorldMorph;0.97;31
flags;BlBitflags;0.87;98
height;Number;0.96;108
index;Integer;0.97;672
size;Number;0.95;288
width;Number;0.98;148
y;Magnitude;0.80;110
