Name;Type;Ratio;Amount
%%;XPathNodeSet;1.00;30
%%~;XPathNodeSet;1.00;30
//;XPathNodeSet;0.84;31
//~;XPathNodeSet;1.00;30
<;Boolean;0.93;67
<=;Boolean;1.00;70
=;Boolean;1.00;2044
==>;PPActionParser;0.98;120
abstractClass;XMLStatelessStreamConverter class;1.00;34
acceptNodeVisitor:;#yourself;0.84;169
acceptSimpleReneVisitor:;#yourself;1.00;46
acceptsEpsilon;Boolean;1.00;40
acceptsEpsilonOpenSet:;Boolean;1.00;52
accessor:;#yourself;1.00;102
accumulate:;#yourself;0.86;42
action:;#yourself;0.97;153
activate;#yourself;1.00;107
activeHand;HandMorph;1.00;48
actualClass;Object class;0.97;270
adapt:;SpAbstractMorphicAdapter;1.00;68
adapter;SpAbstractMorphicAdapter;1.00;161
adaptingName;Symbol;1.00;77
add:traceWith:;FLIteratingCluster;1.00;54
addAllParentsIn:;OrderedCollection;0.94;33
addAllStamps:;#yourself;1.00;39
addAndClassifySelector:withMethod:inProtocol:;#yourself;1.00;480
addAsTargetFor:;OPController;1.00;32
addAttribute:;#yourself;0.95;36
addChild:;#yourself;0.99;250
addChild:at:;#yourself;1.00;65
addChildren:;BlElement;1.00;33
addCondition:labelled:;SRElementDescription;1.00;41
addEventHandler:;#yourself;1.00;285
addEventHandlerOn:do:;BlEventHandler;1.00;67
addFocusRotationKeyBindings;SpAbstractMorphicAdapter;1.00;61
addInteraction:;#yourself;1.00;74
addInteractions;OPDiagramElement;1.00;87
addItem:;#yourself;0.85;58
addKeyBindingsTo:;SpAbstractMorphicAdapter;1.00;91
addLauncherFlagsTo:;PhLCliCommand class;1.00;46
addLauncherPositionalsTo:;PhLCliCommand class;1.00;43
addLineAndReturnNextNode:;MicAbstractBlock;1.00;60
addMatchingExpression:rewriteTo:;ReNodeRewriteRule;1.00;34
addMethod:;#yourself;1.00;50
addMorph:;Morph;1.00;73
addMorphBack:;Morph;1.00;67
addMorphFront:;Morph;1.00;67
addNode:;XMLNode;0.81;51
addResults:;#yourself;1.00;37
addSelectableInteraction;OPDiagramElement;1.00;56
addSelectionDraggableInteraction;OPBoundNode;1.00;41
addSettingsTo:;SpAbstractMorphicAdapter;1.00;63
addShape:;#yourself;1.00;42
addSupertype:;#yourself;1.00;34
addedIn:;#yourself;1.00;48
addedMorph:;Morph;1.00;78
addedNode:;#yourself;1.00;38
addedTo:;OPModelObject;0.94;48
additionalProperty:for:ifAbsentPut:;ArrayedCollection;0.95;53
addoptToParentStub;RGObject;1.00;63
adjustLayoutBounds;Morph;1.00;84
adjustToChildren;RSComposite;1.00;35
adoptPaneColor:;Morph;1.00;169
adoptQuery:;ClyTypedQuery;0.91;40
aeApplyTo:element:;#yourself;0.95;35
aeDrawOn:;#yourself;1.00;34
after;#yourself;0.91;41
afterCheck:mappings:;Boolean;1.00;44
afterMaterializationStepWith:;#yourself;1.00;44
alignCenter;#yourself;0.96;127
allChildrenBreadthFirstDo:;BlElement;1.00;70
allChildrenTypesIn:;OrderedCollection;1.00;37
allElements;Set;0.81;130
allEntities;Collection;0.91;30
allMorphsDo:;Morph;1.00;97
allNodesDo:;XMLNode;1.00;52
allNodesReverseDo:;XMLNode;1.00;56
allOwnedElements;OrderedCollection;1.00;79
allOwnedShapesPositionableByUser;SequenceableCollection;1.00;140
allParents;Collection;1.00;30
allParentsDo:;BlElement;1.00;52
allParsersDo:;PPParser;1.00;34
allParsersDo:seen:;PPParser;1.00;35
allShapesPositionableByUser;OrderedCollection;0.88;35
allSlots;SequenceableCollection;1.00;37
allSubmetamodelsPackagesNames;Array;1.00;31
allTagAssociations;FMMultivalueLink;0.88;84
allTraits;SequenceableCollection;1.00;193
allUsing:;MooseGroup;1.00;40
alpha:;#yourself;0.94;30
ancestorElements;XMLNodeList;0.97;31
ancestorElementsDo:;XMLNode;1.00;45
ancestorNodes;XMLNodeList;0.96;45
ancestorNodesDo:;XMLNode;1.00;52
anchorElement;ToElement;1.00;45
anchorFor:;ReIntervalSourceAnchor;1.00;59
anchorRoot;BlElement;1.00;31
annotatedClass;Object class;1.00;68
annotatedClass:;ClassAnnotation;1.00;40
annotation;MooseEntity class;1.00;218
announce:;#yourself;0.84;222
announceChanged:;OPModelObject;1.00;50
announceDeleted;Morph;1.00;97
announceOpened;Morph;1.00;103
announcer;Announcer;1.00;402
announcer:;#yourself;0.97;68
anotherClassName;Symbol;1.00;36
applicabilityPreconditions;Array;0.99;226
application;SpApplication;0.95;275
appliedStereotypes;OrderedCollection;1.00;52
apply;#yourself;0.83;40
applyConfiguration;#yourself;1.00;210
applyEnqueuedStatesDeeply;BlElement;1.00;31
applyLayoutIn:context:;BlElement;1.00;83
applyLayoutSafelyIn:context:;BlElement;1.00;48
applyOn:;#yourself;0.85;73
applySkinInstallerOnFirstRequest:;#yourself;1.00;59
applySkinInstallersDeeply;BlElement;1.00;31
applyStereotype:;OPUMLElement;1.00;41
applyStyle;#yourself;1.00;86
applyStyle:;SpAbstractMorphicAdapter;1.00;59
applyTo:;#yourself;1.00;39
applyVisibility;SpAbstractMorphicAdapter;1.00;64
arguments;Collection;1.00;135
arguments:;#yourself;1.00;67
arrivedTarget:;BlEvent;1.00;116
asAnnouncement;Announcement;1.00;88
asArray;Array;0.98;80
asCliCommand;ClapCommandSpec;1.00;61
asContainer;SRContainer;1.00;45
asElement;BlElement;1.00;38
asExpectedInput:;ArrayedCollection;1.00;96
asExpectedOutput:;ArrayedCollection;1.00;64
asFileReference;FileReference;1.00;73
asFilename:;String;1.00;62
asOrderedCollection;OrderedCollection;1.00;41
asRectangle;Rectangle;1.00;37
asSpecCommand;SpCommand;0.81;242
asString;String;1.00;113
asUndoOperation;RBRefactoryClassChange;0.86;31
asUnifiedInstance;#yourself;1.00;97
asXPathFunctionSet;XPathFunctionSet;1.00;32
asXPathNodeTest;XPathNodeTest;1.00;32
ascent;Integer;0.83;34
ask;RGEnvironmentQueryInterface;0.84;37
asn1Tag;Integer;1.00;41
assert:;#yourself;1.00;30
assert:description:;#yourself;1.00;367
assert:equals:;#yourself;1.00;47
assertionsEnabled;Boolean;1.00;213
associations;Array;0.80;33
associationsDo:;#yourself;1.00;56
assureExtension;MorphExtension;1.00;181
assureLayoutProperties;TableLayoutProperties;1.00;39
assureTableProperties;TableLayoutProperties;1.00;90
async;ClyAsyncQuery;0.99;76
atEnd;Boolean;1.00;288
atScope:;Collection;1.00;57
attachPoint:;RSObject;1.00;43
attachSpace;BlElement;1.00;73
attachedShapes;Array;1.00;138
attachedShapesDo:;Array;1.00;82
attributeAssociations;Collection;1.00;43
attributeAt:;String;0.89;33
attributeAxis:;XPathNodeSet;1.00;30
attributes;Collection;0.81;218
average;Number;0.81;44
backend;RGReadOnlyImageBackend;0.92;47
backendForTest:;#yourself;1.00;49
background;BlBackground;1.00;67
background:;#yourself;0.98;112
backgroundColor;Color;0.91;40
baseRectangle;Rectangle;1.00;33
base_Class:;OntoUMLElement;1.00;38
baseline:with:;MetacelloBaselineConstructor;1.00;99
basename;String;1.00;75
basicCheck:;Boolean;1.00;150
basicExecute;#yourself;1.00;39
basicInputCollection;ArrayedCollection;1.00;125
basicInvalidInputCollections;Array;1.00;41
basicOutputCollection;ArrayedCollection;1.00;67
basicParent:;MicElement;1.00;59
basisObjects;Set;0.98;124
basisObjects:;#yourself;1.00;32
basisSize;Integer;1.00;31
beOptional;#yourself;1.00;43
beParentOf:;XPathASTNode;0.94;67
beReadOnly;#yourself;1.00;38
beRequired;#yourself;1.00;51
beVertical;#yourself;1.00;37
before;#yourself;1.00;48
beforeRenderingIn:;RSObject;1.00;53
behaviorAffectedName;Symbol;1.00;37
binaryFrom:;ByteArray;1.00;127
bindAtPosition:;#yourself;1.00;32
bindKeyCombination:toAction:;#yourself;1.00;91
bindTo:;#yourself;1.00;58
black;#soleInstance;1.00;32
blockName;String;1.00;41
bodyString;String;1.00;34
border:;#yourself;0.99;203
borderColor;Color;0.98;49
borderColor:;#yourself;0.98;92
borderStyle;SimpleBorderStyle;1.00;90
borderStyle:;#yourself;1.00;73
borderStyleToUse;SimpleBorderStyle;1.00;32
borderWidth;Integer;1.00;197
borderWidth:;#yourself;1.00;82
bounds:;#yourself;1.00;188
boundsCache;BlBoundsCache;1.00;46
boundsInLocal;BlCachedBounds;1.00;73
boundsInLocal:;BlCachedBounds;1.00;50
breakingChangePreconditions;Array;0.98;80
browser:;#yourself;1.00;47
browserClass;MiAbstractBrowser class;1.00;47
browserClosed;MiAbstractBrowser;1.00;54
buildCommandsGroupWith:forRoot:;SpPresenter class;1.00;52
buildEditorForm:;OPElementController;1.00;75
buildNode:;ToAbstractNodeManager;1.00;37
buildResult:;ClyQuery;0.81;35
buildSuite;TestSuite;1.00;69
buildSuiteNamed:withGlobals:andSubsuites:;TestSuite;1.00;64
buildWidget;Morph;0.98;104
buildsDefaultResult;Boolean;1.00;38
buses;Set;0.96;87
