Name;Type;Ratio;Amount
absentBlock;FullBlockClosure;0.95;90
actions;OrderedCollection;0.91;39
activeContext;AnnotationContext;0.97;35
addableCollection;OrderedCollection;0.86;38
addedGlobals;OrderedCollection;1.00;38
aeCanvas;AeCanvas;1.00;100
ancestors;Collection;1.00;30
angle;Number;0.88;30
annotatedClass;Object class;1.00;35
annotationName;Symbol;1.00;39
announcement;Announcement;0.98;324
announcementClass;Announcement class;0.96;89
announcer;Announcer;1.00;193
args;SequenceableCollection;0.93;54
arguments;Collection;0.98;108
array;Array;0.84;308
associationCollection;Collection;1.00;106
associations;SequenceableCollection;0.92;36
ast;OCProgramNode;0.98;61
attributeDictionary;Collection;1.00;47
backendForTest;SpMorphicBackendForTest;1.00;54
basicDescription;String;1.00;105
basicInputCollection;ByteArray;0.83;48
basicName;String;1.00;106
basisObjects;Collection;1.00;48
blElement;BlElement;0.90;81
blElementBoundsUpdateContext;BlElementBoundsUpdater;1.00;107
blElementBoundsUpdater;BlElementBoundsUpdater;1.00;59
blInsets;BlInsets;1.00;30
blLayout;BlLayout;1.00;56
blText;BlText;0.86;38
blTime;BlRealTime;0.94;58
block;FullBlockClosure;0.92;2995
blockChild;MicAbstractBlock;1.00;38
blockClosure;FullBlockClosure;0.94;102
bool;Boolean;1.00;97
boolean;Boolean;0.99;993
borderStyle;SimpleBorderStyle;0.97;86
borderWidth;Integer;0.95;79
bottom;Number;0.97;33
boundsCache;BlBoundsCache;1.00;84
byteArray;ArrayedCollection;0.98;56
cache;SmallDictionary;0.89;336
canBePropagated;Boolean;1.00;126
canvasRectangle;Rectangle;1.00;34
capacity;Integer;1.00;57
cellBounds;Rectangle;1.00;69
changeFactory;RBRefactoryChangeFactory;1.00;34
char;Character;0.87;48
character;Character;0.93;138
chart;RSAbstractChart;0.94;48
children;Collection;0.97;238
clapContext;PhLCliTestClapContext;0.98;57
classAnnotation;ClassAnnotation;1.00;34
classFAMIX;Class;1.00;95
classFactory;ClassFactoryForTestCase;1.00;66
className;Symbol;0.80;220
classScope;ClyLocalClassScope;1.00;54
classes;Collection;0.87;111
closed;Boolean;1.00;45
clusterization;FLClusterization;1.00;42
codePoint;Integer;0.97;38
codec;GRCodec;1.00;32
colToAdd;OrderedCollection;1.00;38
collection;SequenceableCollection;0.84;1322
collectionClass;SequenceableCollection class;0.92;44
collectionOfPackages;Set;0.88;35
collectionOfStrings;SequenceableCollection;1.00;38
collectionOfSymbol;Array;0.97;30
color;Color;0.85;353
combination;BlKeyCombination;0.89;34
commandActivator;CmdCommandActivator;1.00;36
commandSpec;ClapCommandSpec;1.00;57
compiledMethod;CompiledMethod;0.93;428
compiledMethods;OrderedCollection;0.99;68
conditionBlock;FullBlockClosure;0.95;52
constraints;BlLayoutCommonConstraints;0.87;190
consumed;Boolean;1.00;126
contents;SequenceableCollection;0.81;107
controller;OPController;0.87;219
controllerOfCopy;OPElementController;1.00;49
